bodyPart,equipment,level,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
upper arms,dumbbell,Principiante,0370,curl de martillo con mancuernas,biceps,forearms,,Ponte de pie con una mancuerna en cada mano y las palmas hacia el torso.,Mantenga los codos cerca del torso y gire las palmas de las manos hasta que miren hacia adelante.,Esta será tu posición inicial.,"Ahora, manteniendo los brazos superiores estacionarios, exhale y levante las pesas mientras contrae los bíceps.",Continúa levantando las pesas hasta que tus bíceps estén completamente contraídos y las mancuernas estén al nivel de los hombros.,Mantenga la posición contraída durante una breve pausa mientras aprieta los bíceps.,,"Luego, inhale y comience a bajar lentamente las mancuernas hasta la posición inicial.",Repita el ejercicio la cantidad recomendada de repeticiones.,,,,,,
upper legs,dumbbell,Avanzado,0371,sentadilla pliométrica con mancuernas,glutes,quadriceps,hamstrings,Párese con los pies separados al ancho de los hombros y sostenga una mancuerna en cada mano a los costados.,Baje el cuerpo a una posición de sentadilla doblando las rodillas y empujando las caderas hacia atrás.,"Al llegar al final de la sentadilla, salta hacia arriba desde el suelo.","Mientras estés en el aire, cambia rápidamente la posición de tus pies, aterrizando con el pie opuesto hacia adelante.","Inmediatamente baje el cuerpo a la posición de sentadilla y repita el salto, cambiando los pies nuevamente.",Continúa alternando la posición de los pies con cada salto durante el número deseado de repeticiones.,calves,,,,,,,,
upper arms,dumbbell,Principiante,0372,curl de predicador con mancuernas,biceps,forearms,,Siéntese en un banco de curl de predicador con la parte superior de los brazos apoyados sobre la almohadilla y el pecho contra ella.,Sostenga una mancuerna en cada mano con las palmas hacia arriba y los brazos completamente extendidos.,"Manteniendo los brazos superiores estacionarios, exhale y levante las pesas mientras contrae los bíceps.",Continúa levantando las mancuernas hasta que tus bíceps estén completamente contraídos y las mancuernas estén al nivel de los hombros.,Mantenga la posición contraída durante una breve pausa mientras aprieta los bíceps.,Inhala y comienza a bajar lentamente las mancuernas hasta la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
upper arms,dumbbell,Principiante,1673,curl de predicador con mancuernas sobre pelota de ejercicios,biceps,forearms,,Siéntese sobre una pelota de ejercicios con los pies apoyados en el suelo y la espalda recta.,Sostenga una mancuerna en una mano con un agarre por debajo de la mano y apoye el codo sobre la pelota de ejercicios.,"Manteniendo el brazo superior estacionario, exhale y levante la mancuerna hacia el hombro.","Haz una pausa por un momento en la parte superior, luego inhala y baja lentamente la mancuerna a la posición inicial.",Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de brazo.,,,,,,,,,,
chest,dumbbell,Principiante,1293,Press con mancuernas sobre pelota de ejercicios,pectorals,shoulders,triceps,"Siéntese sobre una pelota de ejercicios con los pies apoyados en el suelo y mancuernas en cada mano, apoyadas sobre los muslos.","Camine lentamente con los pies hacia adelante, haciendo rodar la pelota de ejercicios hasta que la parte baja de su espalda quede apoyada sobre ella y sus rodillas formen un ángulo de 90 grados.","Levante las mancuernas a la altura de los hombros, con las palmas hacia adelante.",Presione las mancuernas hacia arriba hasta que sus brazos estén completamente extendidos.,"Haz una pausa por un momento en la parte superior, luego baja lentamente las mancuernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
upper arms,dumbbell,Principiante,0373,Extensión de tríceps con agarre prono con mancuernas,triceps,forearms,,Siéntese en un banco o silla con la espalda recta y los pies apoyados en el suelo.,"Sostenga una mancuerna con ambas manos, con las palmas hacia abajo, y extienda los brazos hacia arriba por encima de la cabeza.","Manteniendo los brazos superiores cerca de la cabeza y los codos apuntando hacia adelante, baje lentamente la mancuerna detrás de la cabeza doblando los codos.",Haz una pausa por un momento y luego extiende los brazos hacia arriba hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,dumbbell,Principiante,0374,curl inclinado con mancuernas,biceps,forearms,,Ajuste el banco a una inclinación de 45 grados.,Acuéstese boca abajo en el banco con el pecho y el estómago apoyados contra él.,Sostenga una mancuerna en cada mano con las palmas hacia abajo y los brazos completamente extendidos.,"Manteniendo los brazos superiores estacionarios, exhale y levante las pesas mientras contrae los bíceps.",Continúa levantando las pesas hasta que tus bíceps estén completamente contraídos y las mancuernas estén al nivel de los hombros.,Mantenga la posición contraída durante una breve pausa mientras aprieta los bíceps.,,Inhala y comienza a bajar lentamente las mancuernas hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,
upper arms,dumbbell,Principiante,1674,curl de martillo inclinado con mancuernas,biceps,forearms,,Ajuste el banco a una inclinación de 45 grados.,"Acuéstese boca abajo en el banco con una mancuerna en cada mano, con las palmas enfrentadas.","Deje que sus brazos cuelguen rectos hacia el suelo, manteniendo los codos ligeramente doblados.","Manteniendo los brazos superiores estacionarios, exhale y levante las pesas mientras contrae los bíceps.",Continúa levantando las mancuernas hasta que tus bíceps estén completamente contraídos y las mancuernas estén al nivel de los hombros.,Mantenga la posición contraída durante una breve pausa mientras aprieta los bíceps.,,Inhala y comienza a bajar lentamente las mancuernas hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,
chest,dumbbell,Principiante,0375,pullover con mancuernas,pectorals,latissimus dorsi,triceps,Acuéstese en un banco con la cabeza en un extremo y los pies en el suelo.,Sostenga una mancuerna con ambas manos y extienda los brazos hacia arriba sobre el pecho.,"Manteniendo una ligera flexión en los codos, baje lentamente la mancuerna detrás de la cabeza hasta que sienta un estiramiento en el pecho y los hombros.",Haz una pausa por un momento y luego levanta la mancuerna a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
chest,dumbbell,Principiante,1294,Extensión de cadera con pullover con mancuernas sobre pelota de ejercicios,pectorals,triceps,shoulders,Siéntese sobre una pelota de ejercicios con los pies apoyados en el suelo y la mancuerna apoyada sobre los muslos.,"Camine lentamente con los pies hacia adelante, haciendo rodar la pelota de ejercicios por su espalda hasta que su cabeza, cuello y parte superior de la espalda queden apoyados sobre la pelota.","Sujete la mancuerna con ambas manos y extienda los brazos hacia arriba sobre el pecho, manteniendo una ligera flexión en los codos.","Baje la mancuerna detrás de la cabeza, manteniendo los brazos rectos y conservando el control.",Haz una pausa por un momento y luego levanta la mancuerna a la posición inicial.,"Manteniendo los brazos extendidos, levante las caderas del suelo, apretando los glúteos y contrayendo el centro del cuerpo.",core,Baje las caderas nuevamente a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,
chest,dumbbell,Principiante,1295,pullover con mancuernas sobre pelota de ejercicios,pectorals,triceps,latissimus dorsi,Siéntese sobre una pelota de ejercicios y sostenga una mancuerna con ambas manos sobre el pecho y los brazos extendidos.,Baje lentamente la mancuerna detrás de la cabeza mientras mantiene los brazos rectos.,Haz una pausa por un momento y luego levanta la mancuerna a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,,
shoulders,dumbbell,Principiante,1700,press de empuje con mancuernas,delts,triceps,core,Párese con los pies separados al ancho de los hombros y sostenga una mancuerna en cada mano a la altura de los hombros.,"Dobla ligeramente las rodillas y baja el cuerpo, luego extiende explosivamente las piernas y presiona las mancuernas sobre tu cabeza.",Bloquee los brazos en la parte superior del movimiento y luego baje las mancuernas hasta el nivel de los hombros.,Repita el número de repeticiones deseado.,,,,,,,,,,,
shoulders,dumbbell,Principiante,0376,elevación con mancuernas,delts,traps,rhomboids,"Párese con los pies separados al ancho de los hombros y sostenga una mancuerna en cada mano, con las palmas hacia el cuerpo.",Mantenga la espalda recta y contraiga el centro del cuerpo.,"Levanta los brazos hacia los lados hasta que queden paralelos al suelo, manteniendo una ligera flexión en los codos.","Haz una pausa por un momento en la parte superior, luego baja lentamente los brazos hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
shoulders,dumbbell,Principiante,2292,elevación del deltoides posterior con mancuernas,delts,trapezius,rhomboids,"Párese con los pies separados al ancho de los hombros y sostenga una mancuerna en cada mano, con las palmas hacia el cuerpo.","Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta.","Levanta los brazos hacia los lados, manteniendo una ligera flexión en los codos, hasta que queden paralelos al suelo.","Haz una pausa por un momento en la parte superior, luego baja lentamente los brazos hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
shoulders,dumbbell,Principiante,0377,Remo con mancuernas para deltoides posteriores_hombro,delts,trapezius,rhomboids,Párese con los pies separados al ancho de los hombros y las rodillas ligeramente dobladas.,Sostenga una mancuerna en cada mano con las palmas hacia el cuerpo.,"Inclínese hacia adelante desde la cintura, manteniendo la espalda recta y el centro del cuerpo contraído.","Extiende los brazos hacia el suelo, con una ligera flexión en los codos.","Levanta las mancuernas hacia los lados, apretando los omóplatos.","Haz una pausa por un momento en la parte superior, luego baja lentamente las mancuernas hasta la posición inicial.",,Repita el número de repeticiones deseado.,,,,,,,
shoulders,dumbbell,Principiante,0378,vuelo trasero con mancuernas,delts,trapezius,rhomboids,Párese con los pies separados al ancho de los hombros y sostenga una mancuerna en cada mano.,"Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta.","Extiende los brazos hacia el suelo, con las palmas una frente a la otra.","Manteniendo los codos ligeramente flexionados, levante los brazos hacia los lados y junte los omóplatos.","Haz una pausa por un momento en la parte superior, luego baja lentamente los brazos hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
shoulders,dumbbell,Principiante,0380,elevación lateral trasera con mancuernas,delts,traps,rhomboids,"Párese con los pies separados al ancho de los hombros y sostenga una mancuerna en cada mano, con las palmas hacia el cuerpo.","Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta y el centro del cuerpo contraído.","Levanta los brazos hacia los lados, manteniendo una ligera flexión en los codos, hasta que queden paralelos al suelo.","Haz una pausa por un momento en la parte superior, luego baja lentamente los brazos hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
shoulders,dumbbell,Principiante,0379,Elevación lateral trasera con mancuernas (apoyando la cabeza),delts,traps,rhomboids,Párese con los pies separados al ancho de los hombros y sostenga una mancuerna en cada mano.,"Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta.","Levanta los brazos hacia los lados, manteniendo una ligera flexión en los codos, hasta que queden paralelos al suelo.","Haz una pausa por un momento en la parte superior, luego baja lentamente los brazos hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper legs,dumbbell,Principiante,0381,estocada trasera con mancuernas,glutes,quadriceps,hamstrings,Párese con los pies separados al ancho de los hombros y sostenga una mancuerna en cada mano.,"Da un paso hacia atrás con el pie derecho, bajando el cuerpo hasta una posición de estocada.",Doble la rodilla izquierda y baje el cuerpo hasta que el muslo izquierdo quede paralelo al suelo.,"Haga una pausa por un momento, luego empuje con el talón izquierdo para regresar a la posición inicial.","Repita del otro lado, dando un paso atrás con el pie izquierdo.",,calves,,,,,,,,
upper arms,dumbbell,Principiante,0382,curl de bíceps con agarre invertido y mancuernas,biceps,forearms,,"Ponte de pie con una mancuerna en cada mano, con las palmas hacia abajo y los brazos completamente extendidos.","Manteniendo los brazos superiores estacionarios, exhale y levante las pesas mientras contrae los bíceps.",Continúa levantando las pesas hasta que tus bíceps estén completamente contraídos y las mancuernas estén al nivel de los hombros.,Mantenga la posición contraída durante una breve pausa mientras aprieta los bíceps.,Inhala y comienza a bajar lentamente las mancuernas hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
chest,dumbbell,Intermedio,1624,press de banca inverso con mancuernas,pectorals,triceps,shoulders,Acuéstese en un banco con los pies apoyados en el suelo y las rodillas dobladas.,Sostenga una mancuerna en cada mano con un agarre por encima de la cabeza y las palmas hacia los pies.,"Extiende los brazos hacia el techo, manteniendo una ligera flexión en los codos.","Baje lentamente las mancuernas hacia el pecho, permitiendo que los codos se extiendan hacia los lados.","Haz una pausa por un momento en la parte inferior, luego empuja las mancuernas hacia arriba hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
shoulders,dumbbell,Principiante,0383,vuelo inverso con mancuernas,delts,trapezius,rhomboids,Párese con los pies separados al ancho de los hombros y sostenga una mancuerna en cada mano.,"Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta.","Extiende los brazos hacia abajo frente a ti, con las palmas una frente a la otra.","Manteniendo una ligera flexión en los codos, levante los brazos hacia los lados hasta que queden paralelos al suelo.","Haz una pausa por un momento en la parte superior, luego baja lentamente los brazos hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
back,dumbbell,Avanzado,1330,Remo con un brazo en banco inclinado con agarre inverso y mancuernas,upper back,biceps,shoulders,Coloque un banco inclinado en un ángulo de 45 grados.,Coloque una mancuerna en el suelo al lado del banco.,Párese frente al banco con los pies separados al ancho de los hombros.,Doble la cintura y coloque la rodilla izquierda y la mano izquierda sobre el banco para apoyarse.,Levanta la mancuerna con la mano derecha utilizando un agarre inverso (palma hacia abajo).,Mantenga la espalda recta y el centro del cuerpo contraído.,,"Levanta la mancuerna hacia el pecho, manteniendo el codo cerca del cuerpo.",Aprieta los músculos de la espalda en la parte superior del movimiento.,,Baje la mancuerna a la posición inicial de manera controlada.,,Repita el número de repeticiones deseado.,,Cambia de lado y repite el ejercicio con el brazo izquierdo.
back,dumbbell,Principiante,1331,Remo con dos brazos en banco inclinado con agarre inverso y mancuernas,upper back,biceps,forearms,Coloque un banco inclinado en un ángulo de 45 grados.,Siéntese en el banco con el pecho contra el respaldo y los pies apoyados en el suelo.,Sostenga una mancuerna en cada mano con un agarre por debajo.,"Inclínese hacia adelante y deje que los brazos cuelguen hacia abajo, completamente extendidos.","Levanta las mancuernas hacia el pecho, apretando los omóplatos.","Haz una pausa por un momento en la parte superior, luego baja lentamente las mancuernas hasta la posición inicial.",,Repita el número de repeticiones deseado.,,,,,,,
back,dumbbell,Principiante,2327,Remo con mancuernas con agarre invertido (femenino),upper back,biceps,forearms,Párese con los pies separados al ancho de los hombros y las rodillas ligeramente dobladas.,Sostenga una mancuerna en cada mano con un agarre por encima de la cabeza y las palmas hacia el cuerpo.,"Inclínese hacia adelante desde la cintura, manteniendo la espalda recta y el centro del cuerpo contraído.","Deje que sus brazos cuelguen hacia abajo, completamente extendidos, con una ligera flexión en los codos.","Levanta las mancuernas hacia el pecho, apretando los omóplatos.","Haz una pausa por un momento en la parte superior, luego baja lentamente las mancuernas hasta la posición inicial.",,Repita el número de repeticiones deseado.,,,,,,,
upper arms,dumbbell,Principiante,0384,curl de predicador invertido con mancuernas,biceps,forearms,,Siéntese en un banco de predicador con la parte superior de los brazos apoyados sobre la almohadilla y el pecho contra el soporte.,Sostenga una mancuerna en cada mano con un agarre por debajo de la mano y con las palmas hacia arriba.,"Manteniendo los brazos superiores estacionarios, exhale y doble las mancuernas mientras contrae los bíceps.",Continúa levantando las mancuernas hasta que tus bíceps estén completamente contraídos y las mancuernas estén a la altura de los hombros.,Mantenga la posición contraída durante una breve pausa mientras aprieta los bíceps.,Inhala y baja lentamente las mancuernas hasta la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
upper arms,dumbbell,Principiante,1675,curl de araña inverso con mancuernas,biceps,forearms,,"Ponte de pie con una mancuerna en cada mano, con las palmas hacia el cuerpo y los brazos completamente extendidos.","Manteniendo los brazos superiores estacionarios, exhale y levante las pesas mientras contrae los bíceps.",Continúa levantando las mancuernas hasta que tus bíceps estén completamente contraídos y las mancuernas estén al nivel de los hombros.,Mantenga la posición contraída durante una breve pausa mientras aprieta los bíceps.,Inhala y comienza a bajar lentamente las mancuernas hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
lower arms,dumbbell,Principiante,0385,curl de muñeca invertido con mancuernas,forearms,biceps,brachialis,Siéntese en un banco o silla con los pies apoyados en el suelo.,Sostenga una mancuerna en cada mano con agarre por encima de la cabeza y con las palmas hacia abajo.,"Apoye los antebrazos sobre los muslos, permitiendo que las muñecas cuelguen fuera del borde.","Lentamente, dobla las muñecas hacia arriba, llevando las mancuernas hacia tu cuerpo.","Haz una pausa por un momento en la parte superior, luego baja lentamente las mancuernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
upper legs,dumbbell,Intermedio,1459,peso muerto rumano con mancuernas,glutes,hamstrings,lower back,Párese con los pies separados al ancho de los hombros y sostenga una mancuerna en cada mano con un agarre por encima de la mano.,"Manteniendo la espalda recta y el centro del cuerpo contraído, doble las caderas y baje las mancuernas hacia el suelo, permitiendo que las rodillas se doblen ligeramente.","Baje las mancuernas hasta que sienta un estiramiento en los isquiotibiales, luego empuje con los talones y contraiga los glúteos para volver a la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,,
shoulders,dumbbell,Principiante,0386,vuelo inverso con rotación de mancuernas,delts,trapezius,rhomboids,"Párese con los pies separados al ancho de los hombros y sostenga una mancuerna en cada mano, con las palmas hacia adentro.","Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta y el pecho erguido.","Levanta los brazos hacia los lados, manteniendo una ligera flexión en los codos, hasta que queden paralelos al suelo.",Gire los brazos para que las palmas queden hacia abajo.,Baje lentamente los brazos hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
shoulders,dumbbell,Principiante,2397,press de banca con mancuernas,delts,triceps,chest,"Siéntese en un banco con una mancuerna en cada mano, con las palmas hacia adelante.","Levante las mancuernas a la altura de los hombros, con los codos doblados y las palmas hacia adelante.",Presione las mancuernas hacia arriba hasta que sus brazos estén completamente extendidos.,"Haz una pausa por un momento en la parte superior, luego baja lentamente las mancuernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
shoulders,dumbbell,Principiante,0387,Elevaciones frontales alternadas con mancuernas sentado,delts,trapezius,biceps,Siéntese en un banco con la espalda recta y los pies apoyados en el suelo.,Sostenga una mancuerna en cada mano con las palmas hacia el cuerpo y los brazos extendidos hacia abajo a los costados.,"Manteniendo los brazos rectos, levante una mancuerna frente a usted hasta que quede paralela al suelo.","Haz una pausa por un momento en la parte superior, luego baja lentamente la mancuerna hasta la posición inicial.",Repita con el otro brazo.,Alterne entre los brazos durante el número deseado de repeticiones.,,,,,,,,,
upper arms,dumbbell,Principiante,1676,Curl de martillo alterno sentado con mancuernas sobre pelota de ejercicio,biceps,forearms,,Siéntese sobre una pelota de ejercicios con los pies apoyados en el suelo y la espalda recta.,Sostenga una mancuerna en cada mano con las palmas hacia el cuerpo y los brazos completamente extendidos.,"Manteniendo los brazos superiores estacionarios, exhale y levante una mancuerna hacia el hombro mientras mantiene la palma de la mano hacia el cuerpo.",Continúe levantando la mancuerna hasta que sus bíceps estén completamente contraídos y la mancuerna esté al nivel de los hombros.,Mantenga la posición contraída durante una breve pausa mientras aprieta los bíceps.,Inhala y baja lentamente la mancuerna hasta la posición inicial.,,Repita el movimiento con el brazo opuesto.,Continúe alternando los brazos durante el número deseado de repeticiones.,,,,,,
shoulders,dumbbell,Principiante,0388,press alternado sentado con mancuernas,delts,triceps,chest,"Siéntese en un banco con una mancuerna en cada mano, con las palmas hacia adelante.","Levante las mancuernas a la altura de los hombros, con los codos doblados y las palmas hacia adelante.","Levanta una mancuerna por encima de la cabeza, extendiendo completamente el brazo.",Baje la mancuerna nuevamente hasta la altura del hombro.,Repita con el otro brazo.,Continúe alternando los brazos durante el número deseado de repeticiones.,,,,,,,,,
shoulders,dumbbell,Principiante,3546,Mancuerna sentada alternada de hombros,delts,triceps,upper back,Siéntese en un banco con la espalda recta y los pies apoyados en el suelo.,"Sostenga una mancuerna en cada mano, con las palmas hacia adentro, y levántelas hasta la altura de los hombros.",Presione una mancuerna hacia arriba por encima de la cabeza mientras mantiene la otra mancuerna a la altura del hombro.,Baje la mancuerna levantada hasta la altura del hombro mientras simultáneamente presiona la otra mancuerna hacia arriba por encima de la cabeza.,Continúe alternando entre los brazos durante el número deseado de repeticiones.,,,,,,,,,,
upper arms,dumbbell,Principiante,0389,Extensión de banco sentado con mancuernas,triceps,shoulders,,Siéntese en un banco con la espalda recta y los pies apoyados en el suelo.,Sostenga una mancuerna con ambas manos y extienda los brazos hacia arriba por encima de la cabeza.,"Baje lentamente la mancuerna detrás de la cabeza, manteniendo los codos cerca de las orejas.",Haz una pausa por un momento y luego levanta la mancuerna hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
shoulders,dumbbell,Principiante,2317,Elevación lateral con mancuernas sentado y brazos flexionados,delts,trapezius,rhomboids,Siéntese en un banco con la espalda recta y los pies apoyados en el suelo.,Sostenga una mancuerna en cada mano con las palmas hacia el cuerpo y los brazos doblados en un ángulo de 90 grados.,"Manteniendo los codos doblados, levante los brazos hacia los lados hasta que queden paralelos al suelo.","Haz una pausa por un momento en la parte superior, luego baja lentamente los brazos hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,dumbbell,Principiante,1730,patada alternada con mancuernas sentado inclinado,triceps,shoulders,back,"Siéntese en un banco con una mancuerna en cada mano, con las palmas hacia adentro.","Inclínese hacia adelante desde la cintura, manteniendo la espalda recta y paralela al suelo.","Extiende un brazo hacia atrás, manteniéndolo cerca de tu cuerpo, hasta que tu brazo esté completamente extendido.",Haga una pausa por un momento y luego baje lentamente la mancuerna a la posición inicial.,Repita con el otro brazo.,Continúe alternando los brazos durante el número deseado de repeticiones.,,,,,,,,,
upper arms,dumbbell,Principiante,1737,Extensión de tríceps inclinado sentado con mancuernas,triceps,shoulders,back,Siéntese en un banco con los pies apoyados en el suelo y sostenga una mancuerna en cada mano.,"Inclínese hacia adelante desde la cintura, manteniendo la espalda recta y la cabeza erguida.","Extiende los brazos hacia atrás, manteniendo los codos cerca de la cabeza.",Haga una pausa por un momento y luego baje lentamente las mancuernas a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,dumbbell,Principiante,1677,curl de bíceps sentado con mancuernas,biceps,forearms,,"Siéntese en un banco con los pies apoyados en el suelo y sostenga una mancuerna en cada mano, con las palmas hacia arriba.",Mantenga la espalda recta y los codos cerca del torso.,"Exhala y levanta las mancuernas hacia los hombros, contrayendo los bíceps.","Haz una pausa por un momento en la parte superior, luego inhala y baja lentamente las mancuernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,dumbbell,Principiante,0390,Curl de bíceps sentado con mancuernas (sobre pelota de estabilidad),biceps,forearms,,Siéntese sobre una pelota de estabilidad con los pies apoyados en el suelo y la espalda recta.,Sostenga una mancuerna en cada mano con las palmas hacia adelante y los brazos completamente extendidos.,"Manteniendo los brazos superiores estacionarios, exhale y flexione las mancuernas mientras contrae los bíceps.",Continúa levantando las mancuernas hasta que tus bíceps estén completamente contraídos y las mancuernas estén al nivel de los hombros.,Mantenga la posición contraída durante una breve pausa mientras aprieta los bíceps.,Inhala y comienza a bajar lentamente las mancuernas hasta la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
upper arms,dumbbell,Principiante,3547,Flexión de bíceps sentado con mancuernas y press de hombros,biceps,shoulders,,Siéntese en un banco con la espalda recta y los pies apoyados en el suelo.,Sostenga una mancuerna en cada mano con las palmas hacia adelante y los brazos completamente extendidos.,"Manteniendo los codos cerca de los costados, levante las mancuernas hacia los hombros.","Una vez que tus antebrazos estén verticales, gira las muñecas para que las palmas queden hacia adelante.",Presione las mancuernas sobre la cabeza hasta que sus brazos estén completamente extendidos.,Baje las mancuernas nuevamente a la posición inicial invirtiendo el movimiento.,,Repita el número de repeticiones deseado.,,,,,,,
lower legs,dumbbell,Principiante,1379,elevación de pantorrillas sentado con mancuernas,calves,hamstrings,,Siéntese en un banco o silla con los pies apoyados en el suelo y una mancuerna apoyada sobre los muslos.,"Coloque las puntas de los pies sobre una superficie elevada, como un escalón o un bloque, con los talones colgando del borde.",Sujete la mancuerna para mantener la estabilidad.,"Levante los talones lo más alto que pueda, colocando el peso de su cuerpo sobre las puntas de los pies.","Haz una pausa por un momento en la parte superior, luego baja lentamente los talones hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
upper arms,dumbbell,Principiante,0391,curl sentado con mancuernas,biceps,forearms,,"Siéntese en un banco con los pies apoyados en el suelo y una mancuerna en cada mano, con las palmas hacia adelante.",Mantenga la espalda recta y los codos cerca del torso.,"Exhala y levanta las mancuernas hacia los hombros, contrayendo los bíceps.","Haz una pausa por un momento en la parte superior, luego inhala y baja lentamente las mancuernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
shoulders,dumbbell,Principiante,0392,Elevación frontal sentado con mancuernas,delts,trapezius,biceps,"Siéntese en un banco con los pies apoyados en el suelo y una mancuerna en cada mano, apoyada sobre los muslos.",Mantenga la espalda recta y el centro del cuerpo contraído.,"Levanta las mancuernas frente a ti, con las palmas hacia abajo, hasta que estén a la altura de los hombros.","Haz una pausa por un momento en la parte superior, luego baja lentamente las mancuernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,dumbbell,Principiante,1678,curl de martillo sentado con mancuernas,biceps,forearms,,"Siéntese en un banco con una mancuerna en cada mano, con las palmas hacia el torso y los brazos extendidos hacia abajo.","Manteniendo los brazos superiores estacionarios, exhale y levante las pesas mientras contrae los bíceps.",Continúa levantando las mancuernas hasta que tus bíceps estén completamente contraídos y las mancuernas estén al nivel de los hombros.,Mantenga la posición contraída durante una breve pausa mientras aprieta los bíceps.,Inhala y comienza a bajar lentamente las mancuernas hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
upper arms,dumbbell,Principiante,0393,curl interno de bíceps sentado con mancuernas,biceps,forearms,,"Siéntese en un banco con los pies apoyados en el suelo y sostenga una mancuerna en cada mano, con las palmas hacia arriba.","Apoye los brazos superiores sobre los muslos, permitiendo que las mancuernas cuelguen.","Manteniendo los brazos superiores estacionarios, levante las mancuernas hacia los hombros contrayendo los bíceps.","Haz una pausa por un momento en la parte superior, luego baja lentamente las mancuernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,dumbbell,Principiante,0394,patada hacia atrás sentada con mancuernas,triceps,shoulders,,Siéntese en un banco con los pies apoyados en el suelo y sostenga una mancuerna en cada mano.,"Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta.",Acerque los brazos superiores a los costados y mantenga los codos doblados en un ángulo de 90 grados.,"Extiende los brazos hacia atrás, apretando los tríceps en la parte superior del movimiento.",Haga una pausa por un momento y luego baje lentamente las mancuernas a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
shoulders,dumbbell,Principiante,0396,elevación lateral sentada con mancuernas,delts,traps,upper back,"Siéntese en un banco con los pies apoyados en el suelo y una mancuerna en cada mano, apoyada sobre los muslos.",Mantenga la espalda recta y el centro del cuerpo contraído.,"Levanta las mancuernas hacia los costados con una ligera flexión en los codos, hasta que tus brazos queden paralelos al suelo.","Haz una pausa por un momento en la parte superior, luego baja lentamente las mancuernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
shoulders,dumbbell,Principiante,0395,Elevación lateral con mancuernas sentado v. 2,delts,traps,triceps,"Siéntese en un banco con los pies apoyados en el suelo y una mancuerna en cada mano, apoyada sobre los muslos.",Mantenga la espalda recta y el centro del cuerpo contraído.,"Levanta las mancuernas hacia los costados con una ligera flexión en los codos, hasta que tus brazos queden paralelos al suelo.","Haz una pausa por un momento en la parte superior, luego baja lentamente las mancuernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
